startId:START_ID,endId:END_ID,type:TYPE,indicator
2064,1499,Attribute,is
1499,1853,Constraint,to
1499,1853,Action,efficiently managing
1853,6227,Conjunctive,but
6227,5479,Constraint,for
6227,5479,Constraint,to
6227,5479,Action,know
2894,6520,Action,realizes
6520,4798,Constraint,of
4798,2747,Constraint,in
2894,3088,Conjunctive,and
2894,3088,Action,specifies
2894,3088,Action,manages
3088,2064,Constraint,by
3088,2064,Action,normalizing
2064,4344,Constraint,on
1272,6094,Constraint,in
1272,6094,Action,are expanding
1272,6094,Action,daily use
6094,3341,Conjunctive,or
3341,1830,EffectCause,due to
1830,4753,Constraint,from
4753,7349,Conjunctive,and
2867,3458,Constraint,of
3458,4008,Attribute,is
658,6373,Sequential,
6373,4361,Constraint,in
4361,3992,Constraint,of
3992,4220,Conjunctive,but
3992,4097,Attribute,seems
3992,4220,Action,saving
3992,4220,Action,will cause
4220,1272,Constraint,of
1272,7154,Conjunctive,and
1272,7154,Action,slow down
7154,971,Constraint,of
971,1431,Constraint,in
2902,5417,Constraint,to
2902,5417,Action,contain
5417,3784,Attribute,is
3784,2000,Constraint,to
2000,4147,Conjunctive,and
6586,4147,Constraint,in
4147,1272,Constraint,of
1272,2667,EffectCause,due to
2667,1604,Conjunctive,or
6028,1110,Constraint,in
1110,2064,Constraint,by
1110,2064,Action,are arranged
6028,6547,Conjunctive,and
6028,6547,Action,are placed
6028,6547,Action,updated
6028,6547,Action,according to
6547,2064,Constraint,of
2064,4624,Constraint,between
2064,4624,Action,shared
4624,3257,Conjunctive,and
327,6028,Action,often arrange
6028,3812,Constraint,in
3812,1006,Conjunctive,and
3812,1006,Action,place
1006,1714,Constraint,in
1714,4624,Constraint,so that
4624,1239,Action,can quickly reach
1714,4191,Attribute,is
4191,4624,Constraint,for
4624,4533,Constraint,to
4624,4533,Action,raise
4533,6028,Constraint,in
4533,6028,Action,selecting
6028,822,Constraint,by
6028,822,Constraint,to
6028,822,Action,going directly
822,2222,Conjunctive,or
6037,6028,Sequential,
6028,6659,Constraint,in
6028,6659,Action,are arranged
535,4624,Action,also helps
4624,6028,Constraint,to
4624,6028,Action,select
1454,4533,Action,bring
4533,4561,Conjunctive,and
4561,3257,Constraint,for
3257,6028,Constraint,to
3257,6028,Action,manage
6028,4624,Constraint,for
6028,4624,Conjunctive,and
4624,6028,Constraint,to
4624,6028,Action,select
3361,5576,Action,classify
5576,4899,Constraint,into
4899,1594,Constraint,by
4899,1594,Action,judging
1594,4394,Constraint,of
4394,6973,Sequential,
6973,1755,Conjunctive,and
3973,5155,Sequential,
5155,2710,Action,begin
2710,1519,Constraint,by
2710,1519,Constraint,for
2710,1519,Action,looking
3230,2240,Constraint,as
3230,2240,Constraint,on
3230,2240,Action,found
2240,1246,Conjunctive,and
2240,1246,Action,deter
1246,6973,Constraint,whether or not
6973,6911,EffectCause,due to
6973,6911,Attribute,are
6911,3832,Constraint,to
6911,3832,Conjunctive,or
3832,1677,Constraint,from
6481,1810,Attribute,is
1810,3156,Sequential,
3156,4899,Constraint,into
3156,4899,Action,could be classified
2128,1387,Constraint,to
2128,1387,Action,start
2128,1387,Action,learn
1387,4774,Constraint,by
1387,7367,Attribute,classifying
4774,5571,Sequential,
5571,4899,Constraint,into
4899,2379,Constraint,by
4899,2379,Conjunctive,and
4899,2379,Conjunctive,and
4899,2379,Action,generalizing
2379,660,Constraint,via
2064,1499,Attribute,is
1499,1853,Constraint,to
1499,1853,Action,efficiently managing
1853,6227,Conjunctive,but
6227,5479,Constraint,for
6227,5479,Constraint,to
6227,5479,Action,know
5745,7129,Sequential,
7129,6019,Attribute,is
6019,4655,Constraint,for
6019,4655,Action,specifying
4655,4344,Conjunctive,and
4655,4344,Action,managing
4655,4344,Action,locating
4344,5745,Constraint,of
5745,4344,Sequential,
4728,6000,Constraint,of
7393,7230,Sequential,
4612,7147,Attribute,is
7147,7538,Sequential,
7538,2609,Sequential,
2609,4612,CauseEffect,so
2609,701,Attribute,are
4612,5602,Attribute,is
229,7122,Attribute,are
7406,6493,Constraint,to
7406,6493,Action,can be normalized
7406,6493,Action,ensure
6493,435,Constraint,of
435,5703,Constraint,by
435,5703,Action,setting
3315,4735,Attribute,is
4735,7268,Constraint,of
7268,7406,Constraint,for
7268,7406,Action,designing
7406,982,Conjunctive,and
7406,982,Action,helping
982,6964,Constraint,of
6964,1542,Sequential,
2550,5058,Conjunctive,and
5058,6333,Attribute,are
6333,3404,Constraint,of
7062,5682,Attribute,is
5682,7845,Constraint,towards
5626,190,Constraint,for
5626,190,Conjunctive,and
5626,190,Action,storing
5626,190,Action,managing
5626,190,Action,retrieving
190,1272,Constraint,of
1272,1657,Constraint,by
1272,1657,Action,establishing
1657,6284,Constraint,between
1657,6284,Constraint,in
6284,3804,Sequential,
3804,2069,Conjunctive,and
5470,6284,Constraint,in
6284,4951,Sequential,
4951,2937,Action,can keep
2937,1272,Constraint,of
1272,3791,Conjunctive,and
3791,1272,Constraint,to
3791,1272,Action,required
3791,1272,Action,access
6284,6898,Sequential,
6898,1272,Sequential,
1272,5055,Action,are named
5055,1272,Constraint,of
1272,5036,Conjunctive,or
